Title,Description,Requirements,Company Size,Category
Senior FS Engineer,"Take part in the development of X core products, including influencing the look and behavior of the product offerings.
Design and implement unique solutions to complex problems, taking full ownership of feature sets from initial discussion through to delivery to clients.
Develop scalable solutions while considering high performance and data integrity, ensuring a testable and responsive application with a focus on an enjoyable developer experience.
Manage project planning, milestones, designs, and estimations, working collaboratively with team members, PM and other stakeholders to ensure successful delivery of projects on time and within budget.
Hold yourself and others to a high standard when working with production systems, maintaining a strong focus on testing, monitoring, and alerting to ensure system stability.
Lead and participate in design and implementation discussions while contributing from your experience and expertise.","6+ years of software development experience with at least 3+ years of web development experience
Expert level of Python/Node.JS with at least 3+ years of experience.
Proficient in React/ VueJS/ Angular 2+ or similar with at least 2+ years of experience.
Strong experience working with databases (Postgres/ MongoDB/ Elastic search)
Deep knowledge in system architecture, design, and building for scale, and always striving for self-improvement and growth.
Problem-solver that isnt afraid to dive into complex challenges in diverse domains
An ambitious team player with a solid ability to work both in a team and independently.
Great communication skills with a “can-do” mindset.",Medium (50 - 150),Software
Java Engineer,"looking for a passionate Java developer to join our development team, providing solutions of C4IConnect based on a multi-GUI server/client architecture.
If you would like to be involved with the development of core defense solutions,
participate in all product development stages, attend military experiments,
and use cutting-edge technologies to contribute to the national security,
your place is with us!
The job includes development of innovative software systems for projects in the defense industry in the North.","· 3+ years of experience in Java development, Experience in Backend development.
· Knowledge of UI development in the JavaFx language
· Knowledge of debug tools, GIT
· View of the system
· Independent learning ability
· B.Sc. in Computer Science/Software Engineering or military equivalent certifications.",Medium (50 - 150),Software
Java Engineer,"looking for a passionate Java developer to join our development team, providing solutions of C4IConnect based on a multi-GUI server/client architecture.
If you would like to be involved with the development of core defense solutions,
participate in all product development stages, attend military experiments,
and use cutting-edge technologies to contribute to the national security,
your place is with us!
The job includes development of innovative software systems for projects in the defense industry in the North.","· 3+ years of experience in Java development, Experience in Backend development.
· Knowledge of UI development in the JavaFx language
· Knowledge of debug tools, GIT
· View of the system
· Independent learning ability
· B.Sc. in Computer Science/Software Engineering or military equivalent certifications.",Medium (50 - 150),Software
Frontend Tech Lead,"For a startup developing an investment platform, with offices in the center.
Responsibilities
 Design a data-driven UI, rich in graphs and tables using latest ReactJS .
 Fetch data from many microservices and expose it as a coherent API gateway with
Node.js and GraphQL .
 Write performant, testable and simple purely-functional code.
 Work with typing ( TypeScript ).
 Write unit tests , integration tests , functional tests and snapshot tests ( TDD ).
 Benchmark and optimise performance issues on UI and API.
 Compose responsive layouts and accessible interactive interfaces with HTML and CSS .
 Work in a scrum team with Git , pull-requests and code-reviews.","7+ years of experience as a software engineer

3+ years of hands-on experience with web technologies, specifically with React

Expert level proficiency building large scale web applications

Experience working with systems in production

Excellent analytical skills and a desire to solve challenging problems

Experience defining, writing and supporting reusable and maintainable UI components and APIs.",Small (0 - 50),Software
Frontend Tech Lead,"For a startup developing an investment platform, with offices in the center.
Responsibilities
 Design a data-driven UI, rich in graphs and tables using latest ReactJS .
 Fetch data from many microservices and expose it as a coherent API gateway with
Node.js and GraphQL .
 Write performant, testable and simple purely-functional code.
 Work with typing ( TypeScript ).
 Write unit tests , integration tests , functional tests and snapshot tests ( TDD ).
 Benchmark and optimise performance issues on UI and API.
 Compose responsive layouts and accessible interactive interfaces with HTML and CSS .
 Work in a scrum team with Git , pull-requests and code-reviews.","7+ years of experience as a software engineer

3+ years of hands-on experience with web technologies, specifically with React

Expert level proficiency building large scale web applications

Experience working with systems in production

Excellent analytical skills and a desire to solve challenging problems

Experience defining, writing and supporting reusable and maintainable UI components and APIs.",Small (0 - 50),Software
Senior Full stack developer,"For a software company development control tools for event creators, with offices in the center.","3 שנות ניסיון בפיתוח Web

ניסיון בכתיבת קוד Rubi on rails

שליטה מלאה ב SQL

שליטה מלאה בצד ה-Client כולל
javascript, ajax, html, bootstrap, css, sass

היכרות בעבודה בסביבת לינוקס

שליטה מלאה ב-GIT",קטנה 50-0,תוכנה
Full Stack (Java),"Be part of analyzing, designing and developing new features for the company's web interfaces and backend infrastructure of a fast-growing SaaS enterprise product. Take part in feature development from the requirement definition stage to final deliverable.","3+ years of experience building highly-scalable, interactive backend applications using Java Spring or Spring Boot and interacting with web applications using Angular 2+.
, Reacy
Experience in cloud environment (AWS, Azure etc.)
Fluent in English, good writing skills.",500+,Software
Cloud Security Full Stack Developer,"Develop and own features e2e from design to production, addressing CI/CD pipeline, monitoring, and testing.
Designing and implementing software solutions using the .NET framework
Developing and maintaining front-end and back-end components of applications
Collaborating with cross-functional teams to identify and prioritize development efforts
Testing and debugging code to ensure functionality and performance
Working with all cloud providers (Azure, GCP, AWS, OCI, and more)","Deep knowledge in SW engineering, preferably a degree.
Well organized, execution capabilities, methodical approach to problem-solving.
Team player with excellent collaboration and communication skills
At least 5 years of experience working as a Full Stack Developer in one of the following languages:c#, python, java,JS
Strong understanding of the .NET framework
Familiarity with at least one major cloud provider, such as Azure, GCP, or AWS
Experience with front-end development technologies such as HTML, CSS, and JavaScript
Backend experience with microservices architecture
Nice to have:

Knowledge of Checkpoint products",500+,Software
Quantitative Data Scientist,"For a company developing strategies for investment trading, with offices in the center

To work with and extract essential information from huge data sets in order to develop new trading strategies and improve the performance of our current trading algorithms","B.Sc. in Mathematics / Physics / Computer Science from a well known academic institution with a GPA of 95+ (3.8+); (M.Sc. / Ph.D.) - an advantage

Experience in the statistical analysis of large data sets - a must

Experience working in computational environments

Experience in quantitative finance - an advantage

Experience programming in C++ - an advantage

Deep intellectual curiosity and a striving for excellence

Independent, thorough, motivated and innovative",לא צוין,Software
Oracle DBA,"We provides an All-in-One payment platform to our merchants around the world.
We are looking for a DBA to join our DBA team!
Take ownership of managing OLTP and BI databases, including support and troubleshooting DB issues
Work with various advanced technologies, platforms, replications, and services
Maintain all development database standards and protocols, including change management, code review, documentation, and testing procedures.
Be a part of the on-call staff (rotation)","What you need?

At least 5 years of experience in Oracle Database Administration (12c/18c/19c)
B.A/B.Sc. degree in Computer Sciences or MAMRAM graduation
Ability to resolve complex DB performance issues
Experience in various Oracle technologies and DBA tasks: Advanced Partitioning, Resources Management, RMAN Backups, etc.
ETLs and other complex SQL queries analysis and optimization
Ability to work under tight schedules and to meet deadlines
High level of English
Advantages:

Administering replicated data centers and GoldenGate replication
Experience with BI databases infrastructure, DWH administration, and advanced database tuning
Ability to manage a Linux-based environment, good OS understanding, and Linux shell scripting experience.
Experience with cloud environments and databases.
MySQL/MariaDB and other database administration experience",StartUp,Software
Automation engineer,"Duties and Responsibilities:
"" Design, develop, and maintain automated tests for backend, UI, and API components to ensure comprehensive test coverage.
"" Collaborate with cross-functional teams to integrate automated testing into CI/CD pipelines and ensure timely delivery of high-quality software.
"" Work closely with developers team members to identify test scenarios ,test manually and automate them effectively.
"" Troubleshoot and debug automation code to ensure reliable test execution and accurate results.
"" Continuously improve test coverage, execution efficiency, and reliability through optimization of automation frameworks and processes.
"" Mentor team members on automation best practices and provide technical support as needed.
"" Manage zero bug approach",""" BSc in Computer sciences, Software engineering, or equivalent experience (IDF courses or equivalent bootcamp courses)
"" 7+ years of automation testing
"" Bachelors degree in Computer Science, Engineering, or related field.
"" Proven experience in automating tests for backend, UI, and API layers using programming languages such as Java/C#/Python, and frameworks such as Cucumber or other BDD framework.
"" Familiarity with testing tools such as Selenium, Cypress, and Postman for backend, UI, and API testing.
"" Experience collaborating with cross-functional teams in Agile environments, preferably within a CI/CD pipeline.
"" Strong problem-solving skills and the ability to troubleshoot issues in automated tests across different layers.
"" Excellent communication skills with the ability to effectively communicate technical concepts to non-technical stakeholders.
"" Demonstrated ability to adapt to changing project requirements and technology stacks.
"" Continuous improvement mindset with a proactive approach to enhancing automation frameworks and processes.
"" Experience in mentoring team members and providing technical guidance on automation best practices is a plus.
Bonus Points
"" Experience with containerization technologies such as Docker or Kubernetes.
"" Experience with Linux",Small (0 - 50),Software
C# Automation Engineer,"We are looking for a C# Automation Engineer for a product group to develop, maintain and improve the automation framework to ensure the highest level of quality.
Moving the group’s products to the cloud and need to cover it with new automation in the most effective ways.","At least 2 years of experience in developing Object-Oriented C# windows applications.

Good understanding and experience with coding standards and design patterns

Experience in designing and developing product’s automation

Deep knowledge of at least one test framework: NUnit, MStest, JUnit

Fast technology adaptation.

Good interpersonal skills.

Good English.",לא צוין,Software
C# Automation Engineer,"We are looking for a C# Automation Engineer for a product group to develop, maintain and improve the automation framework to ensure the highest level of quality.
Moving the group’s products to the cloud and need to cover it with new automation in the most effective ways.","At least 2 years of experience in developing Object-Oriented C# windows applications.

Good understanding and experience with coding standards and design patterns

Experience in designing and developing product’s automation

Deep knowledge of at least one test framework: NUnit, MStest, JUnit

Fast technology adaptation.

Good interpersonal skills.

Good English.",לא צוין,Software
Automation Team Lead,"Our company is pioneering the use of AI and Software Intelligence to solve the challenge of automotive software development. Our technology detects and validates changes in the software lines-of-code to improve software quality and enable efficient over-the-air (OTA) updates. Our customers are the world's leading vehicle manufacturers.
We are looking to hire an Automation team lead to be part of an agile team of engineers designing and developing the products and features that our customers require.
Our team is an experienced group of software engineers, product, and marketing champions with a curiosity for innovation and a passion for making a change in the exciting world of software-defined vehicles and smart devices.

Responsibilities
Lead 3-4 engineers in an Agile environment implementation of Integration tests, based on predefined SW components.
Automate critical systems' processes to improve service performance, monitoring, scalability, and overall stability of our platform Work closely with the product team and with in-house developers and engineers to knowledge share and improve quality of practices","requirements
"" Bachelor of Computer Science or similar
"" At least 2 years as hands-on automation manager / Team leader.
"" 3 years of Python experience in QA Automation.
"" Good knowledge of QA methodologies",Small (0 - 50),Software
QA Automation,"We are looking for a strong, smart QA Automation Engineer to join our Development Team.

Job Responsibilities:

Conduct system-level and component-level tests. Strive to automate the process as much as possible by developing automation suites that provide high coverage, run fast and are easy to maintain
Work closely with product managers and developers to define test plans
Own End-to-End testing of complete modules of the product, covering all quality aspects
Work in an agile development process, utilizing Continuous Integration and Continuous Deployment to reduce risks and solve bugs as early as possible
Build infrastructure for automation tests","2-3 years of hands-on experience in manual QA and development of QA automation – i.e. coding in a programming or scripting language, e.g. Java, Node.JS, etc.
Knowledge and experience in Test Automation Tools for different domains (e.g.: Selenium, Cucumber, Jemter, etc.)
Experience with Web-Applications testing.
Experience with API testing (e.g JMeter, postman etc.)
Fluent verbal and written English skills are required.
Advantages:

Experience in functional, UI, and data validation testing
Experience with Mobile-Applications testing
Experience with CI/CD flow & tools for supporting it ( i.e. Jenkins)
B.A./B.Sc. in Computer Science or similar field from a leading university or substantial experience from a technological unit",Large (150+),Software
Performance SW Engineer,"Join us at the forefront of innovative financial technology. Come work with us!
In this role, you will be involved in design reviews, drive architectural decisions and work closely with technical leaders.
You will participate in the whole life-cycle of features and releases, working closely with the R&D groups - from product requirements, through R&D and test automation development, you will own the performance aspects of the entire product and platform, making a huge impact on product scalability.
You are encouraged to be innovative, strive for excellence, and care about the small details.
"" Design and build new performance automatic tests, including infrastructure development and improvement
"" Drive performance automation across all engineering disciplines (BackEnd, Front End, Infrastructure) to the next level in terms of efficiency and stability
"" Proactively monitor production environments availability, creating a holistic view of system health by collaborating with Ops and Engineering teams
"" Define and implement performance benchmarks framework and tools
"" Run external and internal API stress testing according to non-functional requirements
"" Support production release cycle and customer-related performance related incidents
Our stack is:
"" SaaS multi-tenant solution of microservices architecture managed over Kubernetes
"" Multi-cloud-based solution
"" Data pipelines technologies using various big data databases
"" State-of-the-art CI/CD with cloud monitoring",""" At least 5 years of experience in development/ Automation
"" At least 1-3 years of experience in performance testing
"" Experience with large-scale cloud production systems (AWS, Azure, GCP)
"" Experience with high-level languages such as Java, Python, C++
"" Experience with API stress testing and benchmarking
"" Experience with monitoring and related technologies - Grafana, Prometheus, APM, DataDog, Linux
"" Excellent analytical and interpersonal skills, with the ability to work successfully with engineers, product owners, and business stakeholders
"" Process driver-have a proactive approach to spotting problems, areas for improvement, and performance bottlenecks
"" Advantage - Knowledge of financial systems
"" Advantage - Experience with Big Data / NoSQL databases performance
"" Advantage - B.Sc in computer science or equivalent studies",Small (0 - 50),Software
Fullstack SW Engineer & Bots developer,"A hi-tech company developing products for network communications, with offices in the Shefela is looking for a Frontend SW Engineer to join our dynamic engineering team that designs and develops Voice.AI solutions.
The ideal candidate will join us for a long-term relationship and will help maintain existing products and infrastructure as well as designing and developing new projects.
We are looking for a professional who is passionate about investigating, learning, and implementing new technologies while going beyond the following job description to help where needed.
We prioritize for candidates who have relevant experience with best practice principles and own the maturity to be able to work independently, while being a team player who can follow directions from his/her supervisor.

Responsibilities
Frontend SW Engineer and Bots developer to join our dynamic team at our HQ in Airport City, Lod, Israel.","Requirements
"" Minimum of 3 years direct working experience in the IT industry.
"" B.Sc. Computer Science (or equivalent) from a known university or relevant military experience
"" Strong JavaScript proficiency, especially within the Node.js environment: 2+ years
"" Familiarity with asynchronous language features across various ECMAScript specifications: 2+ years
"" Thorough understanding of React.js and its core principles, as they relate to application architecture, DOM performance and component design: 2+ years
"" Experience with React-based UI frameworks such as Material-UI (MUI) : 2+ years
"" Experience with popular React.js workflows such as Flux or Redux - A significant advantage: 2+ years
"" Proficiency in Typescript: A significant advantage: 2+ years
"" Experience with advanced DB capabilities: 1+ years
"" Experience with C# based on .NET Core - An advantage: 1+ years
"" Quick Independently learner and team player.
"" Flexibility and desire to learn and develop.

Additional preferred qualifications
"" Experience with Azure Cognitive Services
"" Experience with VoIP
"" Experience with Voice Recognition and Voice.AI technologies",Medium (50 - 150),Software
Senior Software Engineer (Workfllows),"Develop and maintain the Workflows App frontend and engine system in the backend - Implementing new features and capabilities while maintaining the existing ones
Designing, planning and executing the roadmap for the team while focusing on scale, quality and performance.
Work closely with other engineering teams and product managers to understand the business requirements.
Communicating and completing tasks with stakeholders that are outside the direct team.
Work closely with product managers and UI/UX team to understand the business requirements.
Find the right balance between perfection and getting the job done.","A minimum of 8 years hands-on experience in the software development field
(frontend / backend)
Ability to come up with quick solutions and put them into code
Backend knowledge and experience with Node.js.
Strong command of Angular, TypeScript, HTML, and CSS.
Knowledge of modern DBs (at least one, PostgreSQL, MySQL, Elastic, Mongo, etc’)
Strong interpersonal skills:
Understanding of business related matters
Advantages - experience in:
Experience with event driven architecture.
Apache-beam/ Google Dataflows/ AWS Kinesis
Java development
Kafka queue",Large (150+),Software
Software Engineer,"We’re looking for a challenge-seeking, code writing, innovative thinker that loves to explore and conquer new technologies. This is an exciting opportunity to join the experts and to learn from the best in the industry. As a Software Engineer, you will create and implement a variety of web products, accompanying the entire lifecycle, from idea to full-scale product. You will be working with the latest technologies, databases, and 3rd party APIs, including Facebook, Google, Amazon Web Services, and more. You will work with data structure algorithms such as machine learning, data mining, and optimizations, tackling industry challenges head-on. Working as part of a small elite team, you will directly impact the company’s success. You will utilize your solid foundation in computer science in order to consistently come up with new ideas to build products from scratch or to improve “ongoing” products. We’re looking for a self-starter, enthusiastic, optimistic, fast learner, good communicator, with a passion for coding.","Responsibilities
Build and enhance, web servers, websites and analytics tools - Full Stack
Integrate with 3rd party APIs including but not limited to Facebook, Google Ads, AWS and more.
Work mainly in Java and some with C#, JavaScript, HTML, CSS.
Proactively identify opportunities for process improvement.
Work closely with product managers for product characterization and features definition.
Work closely with web designers.


Requirements
Computer Science Bachelor Degree.
Experience designing and programming distributed, large software systems using OOP (JAVA, C++, C# and other OOP languages).
A team player yet independent worker with good communication skills (written and oral).
Willing to work flexible hours as needed.


Advantages
Experience using modern web client-side tools, frameworks and methods (HTML5, JavaScript, GWT, Ember, Angular frameworks, Vue etc).
Database Expert.
At least 3 Years experience.",Small (0 - 50),Software
